timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576584180111,692,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,609,0,57
1576584180201,771,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,641,0,21
1576584180803,942,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,873,0,334
1576584180973,855,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,756,0,243
1576584181746,575,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,486,0,21
1576584181829,563,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,474,0,23
1576584182321,558,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,506,0,22
1576584182394,641,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,590,0,34
1576584182879,663,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,608,0,22
1576584183036,783,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,521,0,68
1576584183543,733,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,566,0,29
1576584183819,628,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,571,0,59
1576584184278,600,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,534,0,28
1576584184448,668,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,593,0,58
1576584184879,627,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,573,0,91
1576584185117,749,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,612,0,46
1576584185507,954,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,655,0,40
1576584185867,772,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,584,0,38
1576584186640,669,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,604,0,23
1576584186462,920,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,684,0,63
1576584187311,848,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,631,0,86
1576584187384,910,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,536,0,36
1576584188295,548,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,484,0,31
1576584188160,757,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,591,0,74
1576584188844,1031,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,738,0,64
1576584189876,811,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,649,0,89
1576584190687,906,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,771,0,192
1576584191593,773,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,576,0,36
1576584192366,805,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,646,0,59
1576584193171,556,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,504,0,23
1576584193728,774,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,688,0,24
1576584194503,506,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,448,0,30
1576584195011,491,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,434,0,40
1576584195503,665,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,497,0,27
